"ID","Active (0/1)","Name *","Categories (x","y","z...)","Price tax excluded or Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x","y","z...)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No"," 1 = Yes)","Product available date","Product creation date","Show price (0 = No"," 1 = Yes)","Image URLs (x","y","z...)","Delete existing images (0 = No"," 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No"," 1 = Yes)","Condition","Customizable (0 = No"," 1 = Yes)","Uploadable files (0 = No"," 1 = Yes)","Text fields (0 = No"," 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
20,1,Защитная пленка MyScreen LG L90 D410 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
21,1,Защитная пленка MyScreen LG L80+/L Bello D335 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
22,1,Защитная пленка MyScreen LG L70 Dual D325 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
23,1,Защитная пленка MyScreen LG L70 Dual D325 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
24,1,Защитная пленка MyScreen LG L70 Dual D325 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
25,1,Защитная пленка MyScreen LG L65 D285 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
26,1,Защитная пленка MyScreen LG L65 D285 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
27,1,Защитная пленка MyScreen LG G3 Stylus Dual D690 Crystal antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
28,1,Защитная пленка MyScreen LG G3 Stylus Dual D690 antiReflex antiBacterial,Защитные пленки,109.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
29,1,Защитная пленка MyScreen LG G3 S D724 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
30,1,Защитная пленка MyScreen LG G3 S D724 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
31,1,Защитная пленка MyScreen LG G3 S D724 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
32,1,Защитная пленка MyScreen Lenovo S920 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
33,1,Защитная пленка MyScreen Lenovo S660 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
34,1,Защитная пленка MyScreen Lenovo S720 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
35,1,Защитная пленка MyScreen Lenovo A850 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
36,1,Защитная пленка MyScreen Lenovo S660 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
37,1,Защитная пленка MyScreen Lenovo A820 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
38,1,Защитная пленка MyScreen Lenovo A850 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
39,1,Защитная пленка MyScreen Lenovo A516 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,1,Защитная пленка MyScreen Lenovo A516 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
41,1,Защитная пленка MyScreen Lenovo A369i Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
42,1,Защитная пленка MyScreen Lenovo A369i antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
43,1,"Защитная пленка MyScreen Lenovo A3300 7"" antiReflex antiBacterial",Защитные пленки,209.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
44,1,Защитная пленка MyScreen Lenovo A328 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
45,1,Защитная пленка MyScreen Lenovo A328 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
46,1,Защитная пленка MyScreen Lenovo A316 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
